Card,Colors,Notes,Image,Image URL
Verduran Enchantress,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),,https://cards.scryfall.io/normal/front/7/2/722a73a1-9497-4d8d-850c-ec6c6ab1b8d3.jpg?1690005075,https://cards.scryfall.io/normal/front/7/2/722a73a1-9497-4d8d-850c-ec6c6ab1b8d3.jpg?1690005075
Meddling Mage,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),,https://cards.scryfall.io/normal/front/d/e/de734753-e102-489b-9160-b3f3d10be4f1.jpg?1628801942,https://cards.scryfall.io/normal/front/d/e/de734753-e102-489b-9160-b3f3d10be4f1.jpg?1628801942
Nissa's Defeat,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),,https://cards.scryfall.io/normal/front/8/6/86326456-d188-4083-9141-a639b821b291.jpg?1774337178,https://cards.scryfall.io/normal/front/8/6/86326456-d188-4083-9141-a639b821b291.jpg?1774337178
Demonic Tutor,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),,https://cards.scryfall.io/normal/front/a/2/a24b4cb6-cebb-428b-8654-74347a6a8d63.jpg?1763472867,https://cards.scryfall.io/normal/front/a/2/a24b4cb6-cebb-428b-8654-74347a6a8d63.jpg?1763472867
Twiddle,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),,https://cards.scryfall.io/normal/front/1/b/1b25858a-ab2d-441a-a3fe-6d5ecd7f05be.jpg?1562900371,https://cards.scryfall.io/normal/front/1/b/1b25858a-ab2d-441a-a3fe-6d5ecd7f05be.jpg?1562900371
Sengir Vampire,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),,https://cards.scryfall.io/normal/front/d/e/de652420-eacf-4f9d-9f13-c6bc02b0fa72.jpg?1600714682,https://cards.scryfall.io/normal/front/d/e/de652420-eacf-4f9d-9f13-c6bc02b0fa72.jpg?1600714682
Keldon Warlord,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),,https://cards.scryfall.io/normal/front/8/e/8e67a472-3058-47a7-90f5-1d26c4287cab.jpg?1559592493,https://cards.scryfall.io/normal/front/8/e/8e67a472-3058-47a7-90f5-1d26c4287cab.jpg?1559592493
Giant Growth,"Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21), White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21)",,https://cards.scryfall.io/normal/front/f/d/fd1f95bf-48ea-455a-8a6c-0249b11c8900.jpg?1780919986,https://cards.scryfall.io/normal/front/f/d/fd1f95bf-48ea-455a-8a6c-0249b11c8900.jpg?1780919986
Rootwalla,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),,https://cards.scryfall.io/normal/front/f/5/f5177a97-cf3b-4a82-adc4-14835152880d.jpg?1681725079,https://cards.scryfall.io/normal/front/f/5/f5177a97-cf3b-4a82-adc4-14835152880d.jpg?1681725079
Frozen Shade,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),The original Shade (Alpha): {B}: +1/+1 until end of turn. Black creature; classic black +N/+N pump tied to black mana.,https://cards.scryfall.io/normal/front/c/b/cbd0b4ff-f49f-4079-991a-f66d1220235d.jpg?1562594238,https://cards.scryfall.io/normal/front/c/b/cbd0b4ff-f49f-4079-991a-f66d1220235d.jpg?1562594238
Curiosity,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),,https://cards.scryfall.io/normal/front/c/5/c5a0be10-c20f-4ac0-89a5-1770ecf48aad.jpg?1600697752,https://cards.scryfall.io/normal/front/c/5/c5a0be10-c20f-4ac0-89a5-1770ecf48aad.jpg?1600697752
Banisher Priest,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),,https://cards.scryfall.io/normal/front/0/e/0e518f9e-d74d-4a6f-8fde-5e3ec5834e63.jpg?1682208306,https://cards.scryfall.io/normal/front/0/e/0e518f9e-d74d-4a6f-8fde-5e3ec5834e63.jpg?1682208306
Curse of the Nightly Hunt,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red Aura Curse: enchanted player's creatures attack each combat if able. Red forced-attack.,https://cards.scryfall.io/normal/front/2/9/2983c017-1697-4d45-ac58-3f3ccbaaefff.jpg?1562272943,https://cards.scryfall.io/normal/front/2/9/2983c017-1697-4d45-ac58-3f3ccbaaefff.jpg?1562272943
Flickerwisp,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),"White creature: exile a permanent, return it end of turn. Signature white flicker effect.",https://cards.scryfall.io/normal/front/f/6/f6cccf30-2025-49bb-9b1e-240bbef03f27.jpg?1758104013,https://cards.scryfall.io/normal/front/f/6/f6cccf30-2025-49bb-9b1e-240bbef03f27.jpg?1758104013
Fervor,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red enchantment: your creatures have haste. Classic red haste-anthem.,https://cards.scryfall.io/normal/front/a/8/a88515c2-4b4f-4d16-9f50-149ef012e961.jpg?1562558336,https://cards.scryfall.io/normal/front/a/8/a88515c2-4b4f-4d16-9f50-149ef012e961.jpg?1562558336
Gaseous Form,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue Aura preventing all combat damage to/from enchanted creature. The namesake Gaseous Form.,https://cards.scryfall.io/normal/front/c/5/c5464250-a6a9-4399-a67f-2488073794e9.jpg?1580013968,https://cards.scryfall.io/normal/front/c/5/c5464250-a6a9-4399-a67f-2488073794e9.jpg?1580013968
Relentless Assault,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red sorcery; untaps attackers and grants an additional combat phase (extra attack).,https://cards.scryfall.io/normal/front/9/7/97622209-9357-4347-8961-f77f8d2389d8.jpg?1608912282,https://cards.scryfall.io/normal/front/9/7/97622209-9357-4347-8961-f77f8d2389d8.jpg?1608912282
Disenchant,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White instant: destroy target artifact or enchantment. Iconic enchantment removal in white.,https://cards.scryfall.io/normal/front/7/a/7ac43e16-8b14-46f2-877a-600ea918766b.jpg?1730490776,https://cards.scryfall.io/normal/front/7/a/7ac43e16-8b14-46f2-877a-600ea918766b.jpg?1730490776
Snapcaster Mage,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue creature with Flash. Famous flash staple.,https://cards.scryfall.io/normal/front/2/2/22b36ad5-bf4d-436a-9c3c-fa4acd0052fe.jpg?1736551138,https://cards.scryfall.io/normal/front/2/2/22b36ad5-bf4d-436a-9c3c-fa4acd0052fe.jpg?1736551138
Snakeskin Veil,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green instant; puts a +1/+1 counter on a creature and grants hexproof until end of turn (hexproof).,https://cards.scryfall.io/normal/front/a/3/a3d2c692-7566-468e-9c86-47a9f768fde2.jpg?1743204601,https://cards.scryfall.io/normal/front/a/3/a3d2c692-7566-468e-9c86-47a9f768fde2.jpg?1743204601
Lure,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green Aura: all able creatures must block enchanted creature. Iconic forced-block.,https://cards.scryfall.io/normal/front/7/2/72c8336d-54cf-45af-a9ef-a1428facf91b.jpg?1562850140,https://cards.scryfall.io/normal/front/7/2/72c8336d-54cf-45af-a9ef-a1428facf91b.jpg?1562850140
Glorious Anthem,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White enchantment giving your creatures +1/+1. Classic anthem friendly to the creature type.,https://cards.scryfall.io/normal/front/1/7/17d154d3-7ae5-43ff-9978-d974285e2c89.jpg?1594734982,https://cards.scryfall.io/normal/front/1/7/17d154d3-7ae5-43ff-9978-d974285e2c89.jpg?1594734982
Fog,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green instant preventing all combat damage. The namesake Fog effect.,https://cards.scryfall.io/normal/front/b/b/bbc3152e-7b3b-4ac6-8b33-abfebde216aa.jpg?1709444479,https://cards.scryfall.io/normal/front/b/b/bbc3152e-7b3b-4ac6-8b33-abfebde216aa.jpg?1709444479
Scavenging Ooze,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green creature: {G} exiles a card from a graveyard. Premier green graveyard-hate staple.,https://cards.scryfall.io/normal/front/8/c/8c504c23-1e9a-411b-9cfe-4180d0c744f6.jpg?1730489464,https://cards.scryfall.io/normal/front/8/c/8c504c23-1e9a-411b-9cfe-4180d0c744f6.jpg?1730489464
Diabolic Edict,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),Black instant: target player sacrifices a creature. Classic edict/forced-sacrifice.,https://cards.scryfall.io/normal/front/4/e/4eabbed2-1399-4cf1-9eba-b53c56caced4.jpg?1591104828,https://cards.scryfall.io/normal/front/4/e/4eabbed2-1399-4cf1-9eba-b53c56caced4.jpg?1591104828
Mentor of the Meek,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White creature rewarding low-power creatures with card draw. White friendliness to a quality (small/cheap).,https://cards.scryfall.io/normal/front/2/8/280ca0f4-be07-452a-bbc0-c25570f14008.jpg?1736467552,https://cards.scryfall.io/normal/front/2/8/280ca0f4-be07-452a-bbc0-c25570f14008.jpg?1736467552
Worst Fears,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),Black sorcery: control target player during their next turn. Black mind-control of a turn.,https://cards.scryfall.io/normal/front/8/f/8f4e21ac-4f3e-4a3e-83c0-0a59a1b84020.jpg?1593095890,https://cards.scryfall.io/normal/front/8/f/8f4e21ac-4f3e-4a3e-83c0-0a59a1b84020.jpg?1593095890
Frost Breath,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue instant: tap up to two creatures; they don't untap next turn. Blue freeze/tap-down.,https://cards.scryfall.io/normal/front/3/9/393fc485-d3c1-4826-933d-89f66df769d4.jpg?1594735496,https://cards.scryfall.io/normal/front/3/9/393fc485-d3c1-4826-933d-89f66df769d4.jpg?1594735496
Serra Angel,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White flying angel. Quintessential flier in white.,https://cards.scryfall.io/normal/front/b/8/b8c5e74c-96e7-4a1f-93b7-14d776fe4b2d.jpg?1775599758,https://cards.scryfall.io/normal/front/b/8/b8c5e74c-96e7-4a1f-93b7-14d776fe4b2d.jpg?1775599758
White Knight,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White creature with first strike. Iconic early first-strike body.,https://cards.scryfall.io/normal/front/6/6/660f69ef-c04f-4f53-80e6-8190549ab12a.jpg?1562916342,https://cards.scryfall.io/normal/front/6/6/660f69ef-c04f-4f53-80e6-8190549ab12a.jpg?1562916342
Prey Upon,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green sorcery: your creature fights an enemy creature. Defining green fight spell.,https://cards.scryfall.io/normal/front/0/e/0eb1b036-0856-4cfb-ace5-2731f13696bd.jpg?1547517733,https://cards.scryfall.io/normal/front/0/e/0eb1b036-0856-4cfb-ace5-2731f13696bd.jpg?1547517733
Light Up the Stage,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),"Red sorcery; exile top two cards, play them this/next turn — quintessential impulsive draw.",https://cards.scryfall.io/normal/front/9/1/912b94c9-7200-452d-940f-df0a7cceb377.jpg?1726284958,https://cards.scryfall.io/normal/front/9/1/912b94c9-7200-452d-940f-df0a7cceb377.jpg?1726284958
Young Pyromancer,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red creature; makes a 1/1 Elemental whenever you cast an instant or sorcery.,https://cards.scryfall.io/normal/front/c/0/c0d74ecd-a595-4012-81b4-083264b40c94.jpg?1743206054,https://cards.scryfall.io/normal/front/c/0/c0d74ecd-a595-4012-81b4-083264b40c94.jpg?1743206054
Time Warp,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue sorcery; take an extra turn — flagship blue time manipulation.,https://cards.scryfall.io/normal/front/1/1/11e12a84-e7be-4afc-a230-c2e644743fa8.jpg?1780413107,https://cards.scryfall.io/normal/front/1/1/11e12a84-e7be-4afc-a230-c2e644743fa8.jpg?1780413107
Rule of Law,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White enchantment; each player limited to one spell per turn — white-style lockdown.,https://cards.scryfall.io/normal/front/a/1/a1f4e79b-b103-4380-afa0-61a2b1773c9e.jpg?1592516198,https://cards.scryfall.io/normal/front/a/1/a1f4e79b-b103-4380-afa0-61a2b1773c9e.jpg?1592516198
Curse of the Nightly Hunt,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red Aura Curse; enchanted player's creatures attack each combat if able — red 'must attack'.,https://cards.scryfall.io/normal/front/2/9/2983c017-1697-4d45-ac58-3f3ccbaaefff.jpg?1562272943,https://cards.scryfall.io/normal/front/2/9/2983c017-1697-4d45-ac58-3f3ccbaaefff.jpg?1562272943
Gray Merchant of Asphodel,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),Black creature; opponents lose life equal to your black devotion — life loss as an effect (drain).,https://cards.scryfall.io/normal/front/0/0/00d001d0-fd29-4b7c-9d0e-9131b995f910.jpg?1726284821,https://cards.scryfall.io/normal/front/0/0/00d001d0-fd29-4b7c-9d0e-9131b995f910.jpg?1726284821
Goblin War Drums,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red enchantment; grants menace to your creatures — classic menace enabler.,https://cards.scryfall.io/normal/front/6/d/6d18b250-cbfb-4248-96c6-c1b36f8299b8.jpg?1562436565,https://cards.scryfall.io/normal/front/6/d/6d18b250-cbfb-4248-96c6-c1b36f8299b8.jpg?1562436565
Telepathy,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue enchantment; opponents play with hands revealed — pure 'look at opponent's hand'.,https://cards.scryfall.io/normal/front/c/e/ce03b4b4-612b-4fc9-b063-b0d367712eaf.jpg?1561995744,https://cards.scryfall.io/normal/front/c/e/ce03b4b4-612b-4fc9-b063-b0d367712eaf.jpg?1561995744
"Avacyn, Angel of Hope",White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White Angel; grants indestructible to all your permanents — flagship indestructible card.,https://cards.scryfall.io/normal/front/7/4/74e5dcec-ef1d-4461-bb23-61d98ff082dd.jpg?1738103978,https://cards.scryfall.io/normal/front/7/4/74e5dcec-ef1d-4461-bb23-61d98ff082dd.jpg?1738103978
Stone Rain,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red sorcery; destroy target land — the archetypal land destruction spell.,https://cards.scryfall.io/normal/front/d/2/d2334c10-fa96-4f8e-8187-c7ecc00cbac8.jpg?1562742139,https://cards.scryfall.io/normal/front/d/2/d2334c10-fa96-4f8e-8187-c7ecc00cbac8.jpg?1562742139
Phyrexian Arena,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),Black enchantment; draw an extra card but lose 1 life each upkeep — life loss as an ongoing cost.,https://cards.scryfall.io/normal/front/0/7/0784b6f0-9ebf-43d2-ba0f-a6bc93ba0c48.jpg?1730489269,https://cards.scryfall.io/normal/front/0/7/0784b6f0-9ebf-43d2-ba0f-a6bc93ba0c48.jpg?1730489269
Lure,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green Aura; all creatures able to block enchanted creature must do so — the namesake Lure.,https://cards.scryfall.io/normal/front/7/2/72c8336d-54cf-45af-a9ef-a1428facf91b.jpg?1562850140,https://cards.scryfall.io/normal/front/7/2/72c8336d-54cf-45af-a9ef-a1428facf91b.jpg?1562850140
Aura Graft,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue instant; gain control of an Aura and reattach it — blue's enchantment-moving trick.,https://cards.scryfall.io/normal/front/5/5/55552a2b-1861-4235-a60d-ccabb4839d54.jpg?1562547914,https://cards.scryfall.io/normal/front/5/5/55552a2b-1861-4235-a60d-ccabb4839d54.jpg?1562547914
Phantasmal Image,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue Illusion creature; sacrificed when it becomes the target of a spell/ability — the defining Illusion drawback.,https://cards.scryfall.io/normal/front/c/1/c1c080cf-a5e8-4d9d-af49-f78588971e87.jpg?1631586379,https://cards.scryfall.io/normal/front/c/1/c1c080cf-a5e8-4d9d-af49-f78588971e87.jpg?1631586379
Doubling Season,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green enchantment; doubles tokens and counters placed — iconic counter/token multiplier.,https://cards.scryfall.io/normal/front/f/2/f2c4f80e-84a0-463b-82c3-5c6503809351.jpg?1730489400,https://cards.scryfall.io/normal/front/f/2/f2c4f80e-84a0-463b-82c3-5c6503809351.jpg?1730489400
Baneslayer Angel,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),"White Angel with flying, first strike, lifelink — premier white lifelink beater.",https://cards.scryfall.io/normal/front/4/b/4bd3014b-94bb-4a9f-92cf-239a2dcc7e97.jpg?1594734758,https://cards.scryfall.io/normal/front/4/b/4bd3014b-94bb-4a9f-92cf-239a2dcc7e97.jpg?1594734758
Cranial Extraction,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),"Black sorcery; name a card, remove all copies from hand, library and graveyard — iconic lobotomy effect.",https://cards.scryfall.io/normal/front/a/8/a8cad7a3-777e-4c84-b404-5f504844ab3b.jpg?1562763464,https://cards.scryfall.io/normal/front/a/8/a8cad7a3-777e-4c84-b404-5f504844ab3b.jpg?1562763464
Faithless Looting,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red sorcery; draw two then discard two — the namesake looting spell.,https://cards.scryfall.io/normal/front/f/c/fc019ffa-4461-4f3d-ab8d-e4d20e77ca0c.jpg?1775941293,https://cards.scryfall.io/normal/front/f/c/fc019ffa-4461-4f3d-ab8d-e4d20e77ca0c.jpg?1775941293
Nemesis Mask,Colorless (https://app.notion.com/p/Colorless-385f1559c99b811ead5fea102e2598e7?pvs=21),Colorless Equipment; all creatures able to block the single equipped creature must — Lure restricted to one creature.,https://cards.scryfall.io/normal/front/d/6/d6fc3b76-bc51-49ce-8f3f-2314207be4a7.jpg?1562639851,https://cards.scryfall.io/normal/front/d/6/d6fc3b76-bc51-49ce-8f3f-2314207be4a7.jpg?1562639851
Dark Ritual,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),Black instant; add BBB once — quintessential temporary (one-shot) mana ritual.,https://cards.scryfall.io/normal/front/1/1/11e12a84-e7be-4afc-a230-c2e644743fa8.jpg?1780413107,https://cards.scryfall.io/normal/front/1/1/11e12a84-e7be-4afc-a230-c2e644743fa8.jpg?1780413107
Soul Warden,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White creature; gain 1 life whenever another creature enters — classic incremental life gain.,https://cards.scryfall.io/normal/front/d/9/d96266b3-a7cb-40ce-a328-ac13719fe5f0.jpg?1616182277,https://cards.scryfall.io/normal/front/d/9/d96266b3-a7cb-40ce-a328-ac13719fe5f0.jpg?1616182277
Tarmogoyf,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),"Green creature; the namesake Lhurgoyf, P/T scales with card types in graveyards.",https://cards.scryfall.io/normal/front/6/9/69daba76-96e8-4bcc-ab79-2f00189ad8fb.jpg?1619398799,https://cards.scryfall.io/normal/front/6/9/69daba76-96e8-4bcc-ab79-2f00189ad8fb.jpg?1619398799
